datetime,datetime,open,high,low,close,volume,amount
2016-02-10 22:00:00,2016-02-10 22:00:00,1193.573,1196.983,1190.953,1196.483,9.99999999999e+11,0.0
2016-02-10 23:00:00,2016-02-10 23:00:00,1196.483,1197.653,1195.633,1196.958,9.99999999999e+11,0.0
2016-02-11 01:00:00,2016-02-11 01:00:00,1197.073,1198.523,1195.793,1198.523,9.99999999999e+11,0.0
2016-02-11 02:00:00,2016-02-11 02:00:00,1198.503,1214.623,1198.183,1208.213,9.99999999999e+11,0.0
2016-02-11 03:00:00,2016-02-11 03:00:00,1208.223,1209.893,1206.553,1207.923,9.99999999999e+11,0.0
2016-02-11 04:00:00,2016-02-11 04:00:00,1208.013,1208.243,1204.993,1206.463,9.99999999999e+11,0.0
2016-02-11 05:00:00,2016-02-11 05:00:00,1206.413,1206.733,1205.063,1205.723,9.99999999999e+11,0.0
2016-02-11 06:00:00,2016-02-11 06:00:00,1205.693,1208.943,1205.693,1208.883,9.99999999999e+11,0.0
2016-02-11 07:00:00,2016-02-11 07:00:00,1208.923,1208.923,1205.243,1206.173,9.99999999999e+11,0.0
2016-02-11 08:00:00,2016-02-11 08:00:00,1206.183,1209.633,1205.653,1207.563,9.99999999999e+11,0.0
2016-02-11 09:00:00,2016-02-11 09:00:00,1207.473,1208.883,1206.453,1207.083,9.99999999999e+11,0.0
2016-02-11 10:00:00,2016-02-11 10:00:00,1206.963,1219.213,1206.963,1217.063,9.99999999999e+11,0.0
2016-02-11 11:00:00,2016-02-11 11:00:00,1217.073,1219.628,1215.603,1217.053,9.99999999999e+11,0.0
2016-02-11 12:00:00,2016-02-11 12:00:00,1217.073,1229.673,1216.873,1224.113,9.99999999999e+11,0.0
2016-02-11 13:00:00,2016-02-11 13:00:00,1224.103,1242.118,1223.603,1236.763,9.99999999999e+11,0.0
2016-02-11 14:00:00,2016-02-11 14:00:00,1237.163,1238.313,1232.423,1235.133,9.99999999999e+11,0.0
2016-02-11 15:00:00,2016-02-11 15:00:00,1234.823,1241.233,1229.503,1235.173,9.99999999999e+11,0.0
2016-02-11 16:00:00,2016-02-11 16:00:00,1235.223,1243.623,1231.683,1232.413,9.99999999999e+11,0.0
2016-02-11 17:00:00,2016-02-11 17:00:00,1232.473,1248.343,1232.393,1246.553,9.99999999999e+11,0.0
2016-02-11 18:00:00,2016-02-11 18:00:00,1246.553,1263.343,1243.963,1253.883,9.99999999999e+11,0.0
2016-02-11 19:00:00,2016-02-11 19:00:00,1253.943,1256.513,1247.013,1247.823,9.99999999999e+11,0.0
2016-02-11 20:00:00,2016-02-11 20:00:00,1247.823,1252.183,1241.143,1248.843,9.99999999999e+11,0.0
2016-02-11 21:00:00,2016-02-11 21:00:00,1248.883,1257.693,1240.893,1244.403,9.99999999999e+11,0.0
2016-02-11 22:00:00,2016-02-11 22:00:00,1244.433,1251.303,1240.853,1244.623,9.99999999999e+11,0.0
2016-02-11 23:00:00,2016-02-11 23:00:00,1244.713,1248.743,1243.183,1246.343,9.99999999999e+11,0.0
2016-02-12 00:00:00,2016-02-12 00:00:00,1246.23,1246.23,1246.23,1246.23,9.99999999999e+11,0.0
2016-02-12 01:00:00,2016-02-12 01:00:00,1246.333,1248.193,1239.383,1240.173,9.99999999999e+11,0.0
2016-02-12 02:00:00,2016-02-12 02:00:00,1240.083,1243.323,1236.713,1238.143,9.99999999999e+11,0.0
2016-02-12 03:00:00,2016-02-12 03:00:00,1238.183,1239.853,1235.693,1235.933,9.99999999999e+11,0.0
2016-02-12 04:00:00,2016-02-12 04:00:00,1235.973,1238.653,1235.473,1237.593,9.99999999999e+11,0.0
2016-02-12 05:00:00,2016-02-12 05:00:00,1237.543,1238.173,1233.073,1233.383,9.99999999999e+11,0.0
2016-02-12 06:00:00,2016-02-12 06:00:00,1233.433,1234.323,1232.533,1232.863,9.99999999999e+11,0.0
2016-02-12 07:00:00,2016-02-12 07:00:00,1232.853,1239.163,1232.373,1238.663,9.99999999999e+11,0.0
2016-02-12 08:00:00,2016-02-12 08:00:00,1238.643,1245.943,1237.763,1244.283,9.99999999999e+11,0.0
